Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
US-2020-1000,2020-07-28,2020-08-03,Second Class,CG-10200,Customer 200,Consumer,United States,California,West,OFF-LAB-7912,Office Supplies,Labels,Avery 501,8571.36,12,0.0,2999.98
US-2023-1001,2023-02-23,2023-02-25,Standard Class,CG-10201,Customer 201,Home Office,United States,California,West,TEC-COM-7873,Technology,Computers,HP EliteBook 840,4381.94,12,0.3,-482.01
US-2021-1002,2021-11-27,2021-11-30,Same Day,CG-10202,Customer 202,Consumer,United States,Massachusetts,East,OFF-LAB-2674,Office Supplies,Labels,Avery 503,528.51,3,0.0,184.98
US-2020-1003,2020-03-29,2020-04-04,First Class,CG-10203,Customer 203,Home Office,United States,Nevada,West,TEC-ACC-2291,Technology,Accessories,Belkin USB Hub,2760.32,8,0.2,27.6
US-2021-1004,2021-08-15,2021-08-16,Second Class,CG-10204,Customer 204,Consumer,United States,Indiana,Central,FUR-TAB-7227,Furniture,Tables,Bretford CR4500 Table,2660.98,14,0.0,399.15
US-2021-1005,2021-03-05,2021-03-11,First Class,CG-10205,Customer 205,Corporate,United States,Michigan,Central,OFF-FAS-3803,Office Supplies,Fasteners,Stockwell Rubber Bands,2814.75,5,0.0,985.16
US-2023-1006,2023-11-03,2023-11-06,Second Class,CG-10206,Customer 206,Home Office,United States,Pennsylvania,East,FUR-FUR-4752,Furniture,Furnishings,Luxo B-Line,8621.34,14,0.0,1293.2
US-2021-1007,2021-03-11,2021-03-17,First Class,CG-10207,Customer 207,Consumer,United States,Oregon,West,FUR-BOO-3340,Furniture,Bookcases,Bush Westfield Bookcase,2044.99,8,0.2,-184.05
US-2022-1008,2022-01-11,2022-01-13,Same Day,CG-10208,Customer 208,Home Office,United States,Illinois,Central,TEC-ACC-1771,Technology,Accessories,Anker Charger,1230.21,3,0.0,307.55
US-2022-1009,2022-02-27,2022-03-03,Standard Class,CG-10209,Customer 209,Home Office,United States,Washington,West,OFF-STO-5119,Office Supplies,Storage,Advantus Cropper,6375.36,10,0.2,701.29
US-2022-1010,2022-06-09,2022-06-11,First Class,CG-10210,Customer 210,Consumer,United States,California,West,OFF-LAB-9201,Office Supplies,Labels,Avery Address Labels,60.64,8,0.0,21.22
US-2020-1011,2020-11-26,2020-12-01,First Class,CG-10211,Customer 211,Consumer,United States,New Jersey,East,TEC-ACC-6310,Technology,Accessories,HP Monitor 24,9598.42,13,0.0,2399.61
US-2021-1012,2021-05-08,2021-05-13,Standard Class,CG-10212,Customer 212,Consumer,United States,Florida,South,TEC-ACC-2133,Technology,Accessories,Belkin USB Hub,116.94,2,0.2,1.17
US-2021-1013,2021-03-09,2021-03-14,Same Day,CG-10213,Customer 213,Corporate,United States,Pennsylvania,East,OFF-SUP-6107,Office Supplies,Supplies,Dixon Ticonderoga,7608.9,13,0.0,2663.11
US-2020-1014,2020-05-11,2020-05-14,Second Class,CG-10214,Customer 214,Consumer,United States,North Carolina,South,FUR-FUR-4608,Furniture,Furnishings,Eldon Clackson Table Lamp,472.71,1,0.0,70.91
US-2021-1015,2021-11-07,2021-11-08,Standard Class,CG-10215,Customer 215,Consumer,United States,California,West,OFF-BIN-4510,Office Supplies,Binders,Avery Durable Binder,1573.1,9,0.1,361.81
US-2021-1016,2021-01-24,2021-01-25,Same Day,CG-10216,Customer 216,Corporate,United States,New Jersey,East,OFF-SUP-7939,Office Supplies,Supplies,Dixon Ticonderoga,1057.78,2,0.0,370.22
US-2021-1017,2021-11-25,2021-12-02,Same Day,CG-10217,Customer 217,Consumer,United States,Tennessee,South,OFF-BIN-4116,Office Supplies,Binders,GBC DocuBind,1286.18,14,0.0,450.16
US-2020-1018,2020-06-03,2020-06-07,Second Class,CG-10218,Customer 218,Corporate,United States,Georgia,South,FUR-TAB-2604,Furniture,Tables,Iceberg Quartz Table,6276.91,13,0.3,-1318.15
US-2022-1019,2022-09-21,2022-09-25,Same Day,CG-10219,Customer 219,Consumer,United States,Arizona,West,TEC-PHO-3697,Technology,Phones,Samsung Galaxy S23,2769.6,4,0.0,692.4
US-2023-1020,2023-11-27,2023-12-03,Same Day,CG-10220,Customer 220,Corporate,United States,Florida,South,FUR-BOO-3536,Furniture,Bookcases,Sauder Beginnings,4647.14,13,0.2,-418.24
US-2020-1021,2020-04-27,2020-04-28,First Class,CG-10221,Customer 221,Home Office,United States,Virginia,East,TEC-PHO-9701,Technology,Phones,Apple iPhone 14,1920.25,10,0.5,-672.09
US-2023-1022,2023-10-14,2023-10-21,Standard Class,CG-10222,Customer 222,Consumer,United States,New York,East,OFF-PAP-5033,Office Supplies,Paper,Hammermill Copy Plus,1043.2,4,0.2,114.75
US-2023-1023,2023-10-03,2023-10-09,Second Class,CG-10223,Customer 223,Corporate,United States,Arizona,West,TEC-COP-3144,Technology,Copiers,Brother MFC-L8900,934.85,6,0.2,9.35
US-2020-1024,2020-05-30,2020-06-04,Standard Class,CG-10224,Customer 224,Corporate,United States,Michigan,Central,FUR-CHA-6718,Furniture,Chairs,HON 5400 Series,1628.72,4,0.0,244.31
US-2023-1025,2023-06-06,2023-06-13,First Class,CG-10225,Customer 225,Corporate,United States,Washington,West,FUR-BOO-5905,Furniture,Bookcases,Safco Arco Bookcase,3276.43,11,0.3,-688.05
US-2021-1026,2021-07-11,2021-07-14,Second Class,CG-10226,Customer 226,Home Office,United States,Washington,West,FUR-CHA-4335,Furniture,Chairs,HON 5400 Series,1552.05,10,0.1,46.56
US-2021-1027,2021-07-20,2021-07-21,Same Day,CG-10227,Customer 227,Consumer,United States,Indiana,Central,FUR-BOO-5291,Furniture,Bookcases,Bush Westfield Bookcase,270.18,1,0.0,40.53
US-2023-1028,2023-11-16,2023-11-18,Standard Class,CG-10228,Customer 228,Consumer,United States,Massachusetts,East,OFF-ENV-3426,Office Supplies,Envelopes,Staple Envelope,302.76,9,0.0,105.97
US-2021-1029,2021-03-06,2021-03-12,First Class,CG-10229,Customer 229,Consumer,United States,Georgia,South,TEC-ACC-7658,Technology,Accessories,Belkin USB Hub,1926.76,4,0.1,250.48
US-2021-1030,2021-11-11,2021-11-18,Second Class,CG-10230,Customer 230,Consumer,United States,Pennsylvania,East,TEC-COM-5065,Technology,Computers,Apple MacBook Air,2249.73,7,0.5,-787.41
US-2021-1031,2021-03-31,2021-04-02,Same Day,CG-10231,Customer 231,Consumer,United States,Illinois,Central,OFF-PAP-6000,Office Supplies,Paper,Staple Multiuse,10292.38,14,0.0,3602.33
US-2020-1032,2020-05-22,2020-05-29,First Class,CG-10232,Customer 232,Corporate,United States,Pennsylvania,East,TEC-COM-7548,Technology,Computers,Apple MacBook Air,994.56,5,0.3,-109.4
US-2020-1033,2020-03-19,2020-03-20,First Class,CG-10233,Customer 233,Home Office,United States,Texas,Central,TEC-ACC-6139,Technology,Accessories,HP Monitor 24,2102.88,10,0.4,-483.66
US-2021-1034,2021-06-05,2021-06-06,Second Class,CG-10234,Customer 234,Home Office,United States,Alabama,South,OFF-PAP-9821,Office Supplies,Paper,Staple Multiuse,3376.03,12,0.2,371.36
US-2023-1035,2023-09-20,2023-09-27,First Class,CG-10235,Customer 235,Home Office,United States,Virginia,East,FUR-CHA-9308,Furniture,Chairs,Harbour Creations Chair,1038.96,2,0.1,31.17
US-2021-1036,2021-01-27,2021-01-31,Second Class,CG-10236,Customer 236,Home Office,United States,Michigan,Central,FUR-FUR-5930,Furniture,Furnishings,Luxo B-Line,8278.49,11,0.0,1241.77
US-2023-1037,2023-04-02,2023-04-07,Same Day,CG-10237,Customer 237,Consumer,United States,Alabama,South,TEC-ACC-8244,Technology,Accessories,Belkin USB Hub,2298.47,11,0.2,22.98
US-2020-1038,2020-07-10,2020-07-17,First Class,CG-10238,Customer 238,Corporate,United States,New Jersey,East,FUR-TAB-4680,Furniture,Tables,Bretford CR4500 Table,2243.12,13,0.1,67.29
US-2022-1039,2022-07-21,2022-07-25,Standard Class,CG-10239,Customer 239,Corporate,United States,Pennsylvania,East,TEC-PHO-7291,Technology,Phones,Samsung Galaxy S23,3053.56,11,0.4,-702.32
US-2021-1040,2021-03-24,2021-03-26,Same Day,CG-10240,Customer 240,Consumer,United States,Tennessee,South,TEC-COM-8611,Technology,Computers,Dell Latitude 5520,6975.88,13,0.3,-767.35
US-2023-1041,2023-09-29,2023-10-04,Same Day,CG-10241,Customer 241,Consumer,United States,Arizona,West,TEC-PHO-8251,Technology,Phones,Nokia 3310,2152.71,9,0.5,-753.45
US-2021-1042,2021-05-21,2021-05-28,First Class,CG-10242,Customer 242,Corporate,United States,Alabama,South,FUR-TAB-8939,Furniture,Tables,Lesro Lenox Table,1736.04,11,0.3,-364.57
US-2021-1043,2021-11-18,2021-11-21,First Class,CG-10243,Customer 243,Consumer,United States,Virginia,East,FUR-CHA-4788,Furniture,Chairs,Harbour Creations Chair,621.54,9,0.0,93.23
US-2021-1044,2021-11-08,2021-11-13,Same Day,CG-10244,Customer 244,Corporate,United States,Georgia,South,OFF-ART-7883,Office Supplies,Art,SANFORD Liquid Accent,2684.32,8,0.0,939.51
US-2021-1045,2021-12-21,2021-12-24,Standard Class,CG-10245,Customer 245,Corporate,United States,Alabama,South,OFF-BIN-9818,Office Supplies,Binders,Ibico Binding System,3685.97,13,0.1,847.77
US-2022-1046,2022-03-07,2022-03-10,Standard Class,CG-10246,Customer 246,Corporate,United States,Massachusetts,East,TEC-ACC-3704,Technology,Accessories,Anker Charger,4795.3,11,0.2,47.95
US-2020-1047,2020-06-20,2020-06-26,Standard Class,CG-10247,Customer 247,Home Office,United States,Georgia,South,OFF-BIN-3977,Office Supplies,Binders,Ibico Binding System,711.14,7,0.1,163.56
US-2021-1048,2021-11-22,2021-11-29,First Class,CG-10248,Customer 248,Corporate,United States,Oregon,West,FUR-BOO-5133,Furniture,Bookcases,Safco Arco Bookcase,1266.78,7,0.2,-114.01
US-2023-1049,2023-08-27,2023-08-28,Standard Class,CG-10249,Customer 249,Consumer,United States,Nevada,West,TEC-PHO-4266,Technology,Phones,Motorola Moto G,385.71,13,0.0,96.43
